instruct,answer,Conditions,Offers
Suggest a Lenovo laptop with 8GB RAM and 256GB SSD.,"Name: Lenovo ExpertBook 4168, Category: General Use, Price: 71496 BDT, Color: Silver, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 256GB SSD",Brand New,"Cash Offer: ৳20,000 discount"
Suggest a Lenovo laptop with 4GB RAM and 256GB SSD.,"Name: Lenovo ExpertBook 4169, Category: General Use, Price: 118496 BDT, Color: Silver, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 256GB SSD",Brand New,0% EMI on selected cards
Suggest a ASUS laptop with 4GB RAM and 256GB SSD.,"Name: ASUS ExpertBook 4170, Category: General Use, Price: 90804 BDT, Color: Black, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 256GB SSD",Pre-Owned,Battery Replacement Support
Suggest a Dell laptop with 16GB RAM and 256GB SSD.,"Name: Dell ExpertBook 4171, Category: General Use, Price: 66901 BDT, Color: White, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 256GB SSD",Pre-Owned,Free Mouse Pad
Suggest a Lenovo laptop with 4GB RAM and 1TB SSD.,"Name: Lenovo ExpertBook 4172, Category: General Use, Price: 57998 BDT, Color: Black, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 1TB SSD",Brand New,Student Discount Available
Suggest a Acer laptop with 12GB RAM and 512GB SSD.,"Name: Acer ExpertBook 4173, Category: General Use, Price: 126058 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 512GB SSD",Pre-Owned,Discount ৳1500
Suggest a LG laptop with 4GB RAM and 256GB SSD.,"Name: LG ExpertBook 4174, Category: General Use, Price: 113455 BDT, Color: Black, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 256GB SSD",Pre-Owned,"Cash Offer: ৳24,000 discount"
Suggest a HP laptop with 8GB RAM and 256GB SSD.,"Name: HP ExpertBook 4175, Category: General Use, Price: 45479 BDT, Color: White, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 256GB SSD",Brand New,"Cash Offer: ৳20,000 discount"
Suggest a ASUS laptop with 8GB RAM and 256GB SSD.,"Name: ASUS ExpertBook 4176, Category: General Use, Price: 147591 BDT, Color: Black, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 256GB SSD",Pre-Owned,Discount ৳1500
Suggest a Dell laptop with 16GB RAM and 1TB SSD.,"Name: Dell ExpertBook 4177, Category: General Use, Price: 145697 BDT, Color: Silver, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 1TB SSD",Pre-Owned,Discount ৳1500
Suggest a MSI laptop with 4GB RAM and 256GB SSD.,"Name: MSI ExpertBook 4178, Category: General Use, Price: 60103 BDT, Color: Gray, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 256GB SSD",Brand New,Free Delivery
Suggest a LG laptop with 8GB RAM and 128GB SSD.,"Name: LG ExpertBook 4179, Category: General Use, Price: 48506 BDT, Color: Black, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 128GB SSD",Brand New,Free Travel Pouch
Suggest a Apple laptop with 12GB RAM and 128GB SSD.,"Name: Apple ExpertBook 4180, Category: General Use, Price: 102111 BDT, Color: Gray, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 128GB SSD",Brand New,Free Backpack
Suggest a Apple laptop with 8GB RAM and 1TB SSD.,"Name: Apple ExpertBook 4181, Category: General Use, Price: 114994 BDT, Color: Black, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 1TB SSD",Pre-Owned,Free Gaming Mouse
Suggest a LG laptop with 12GB RAM and 1TB SSD.,"Name: LG ExpertBook 4182, Category: General Use, Price: 140567 BDT, Color: Silver, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 1TB SSD",Brand New,Student Discount Available
Suggest a Apple laptop with 8GB RAM and 256GB SSD.,"Name: Apple ExpertBook 4183, Category: General Use, Price: 106901 BDT, Color: Silver, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 256GB SSD",Brand New,0% EMI or ৳4000 Discount
Suggest a MSI laptop with 12GB RAM and 256GB SSD.,"Name: MSI ExpertBook 4184, Category: General Use, Price: 124550 BDT, Color: Silver, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 256GB SSD",Brand New,Up to 5% Discount
Suggest a Dell laptop with 4GB RAM and 1TB SSD.,"Name: Dell ExpertBook 4185, Category: General Use, Price: 76798 BDT, Color: Black, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 1TB SSD",Pre-Owned,"Cash Offer: ৳24,000 discount"
Suggest a Dell laptop with 12GB RAM and 1TB SSD.,"Name: Dell ExpertBook 4186, Category: General Use, Price: 83449 BDT, Color: Silver, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 1TB SSD",Pre-Owned,Free Mouse Pad
Suggest a ASUS laptop with 16GB RAM and 256GB SSD.,"Name: ASUS ExpertBook 4187, Category: General Use, Price: 48931 BDT, Color: Gray, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 256GB SSD",Brand New,"Cash Offer: ৳20,000 discount"
Suggest a LG laptop with 12GB RAM and 1TB SSD.,"Name: LG ExpertBook 4188, Category: General Use, Price: 81413 BDT, Color: Black, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 1TB SSD",Brand New,Battery Replacement Support
Suggest a Apple laptop with 8GB RAM and 128GB SSD.,"Name: Apple ExpertBook 4189, Category: General Use, Price: 54430 BDT, Color: White, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 128GB SSD",Brand New,"Cash Offer: ৳18,000 discount"
Suggest a Acer laptop with 16GB RAM and 512GB SSD.,"Name: Acer ExpertBook 4190, Category: General Use, Price: 125515 BDT, Color: Silver, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 512GB SSD",Pre-Owned,"Cash Offer: ৳20,000 discount"
Suggest a HP laptop with 16GB RAM and 1TB SSD.,"Name: HP ExpertBook 4191, Category: General Use, Price: 46357 BDT, Color: Silver, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 1TB SSD",Brand New,Free Laptop Bag
Suggest a ASUS laptop with 12GB RAM and 128GB SSD.,"Name: ASUS ExpertBook 4192, Category: General Use, Price: 107902 BDT, Color: White, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 128GB SSD",Pre-Owned,"Cash Offer: ৳20,000 discount"
Suggest a MSI laptop with 16GB RAM and 1TB SSD.,"Name: MSI ExpertBook 4193, Category: General Use, Price: 147254 BDT, Color: White, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 1TB SSD",Pre-Owned,Cashback ৳2000
Suggest a Acer laptop with 8GB RAM and 256GB SSD.,"Name: Acer ExpertBook 4194, Category: General Use, Price: 63905 BDT, Color: Gray, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 256GB SSD",Pre-Owned,Up to 5% Discount
Suggest a Lenovo laptop with 8GB RAM and 128GB SSD.,"Name: Lenovo ExpertBook 4195, Category: General Use, Price: 73447 BDT, Color: White, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 128GB SSD",Pre-Owned,Student Discount Available
Suggest a MSI laptop with 16GB RAM and 128GB SSD.,"Name: MSI ExpertBook 4196, Category: General Use, Price: 124274 BDT, Color: White, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 128GB SSD",Brand New,Student Discount Available
Suggest a Lenovo laptop with 4GB RAM and 128GB SSD.,"Name: Lenovo ExpertBook 4197, Category: General Use, Price: 127069 BDT, Color: Gray, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 128GB SSD",Pre-Owned,Free Backpack
Suggest a ASUS laptop with 8GB RAM and 512GB SSD.,"Name: ASUS ExpertBook 4198, Category: General Use, Price: 120338 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 512GB SSD",Brand New,Up to 5% Discount
Suggest a LG laptop with 12GB RAM and 256GB SSD.,"Name: LG ExpertBook 4199, Category: General Use, Price: 125643 BDT, Color: White, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 256GB SSD",Pre-Owned,0% EMI on selected cards
Suggest a HP laptop with 16GB RAM and 128GB SSD.,"Name: HP ExpertBook 4200, Category: General Use, Price: 140400 BDT, Color: White, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 128GB SSD",Pre-Owned,EMI available (6 months)
Suggest a Lenovo laptop with 12GB RAM and 512GB SSD.,"Name: Lenovo ExpertBook 4201, Category: General Use, Price: 94748 BDT, Color: Silver, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 512GB SSD",Pre-Owned,Free Travel Pouch
Suggest a MSI laptop with 8GB RAM and 512GB SSD.,"Name: MSI ExpertBook 4202, Category: General Use, Price: 124195 BDT, Color: White, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 512GB SSD",Brand New,"Cash Offer: ৳20,000 discount"
Suggest a MSI laptop with 8GB RAM and 256GB SSD.,"Name: MSI ExpertBook 4203, Category: General Use, Price: 83433 BDT, Color: White, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 256GB SSD",Brand New,Battery Replacement Support
Suggest a Lenovo laptop with 4GB RAM and 512GB SSD.,"Name: Lenovo ExpertBook 4204, Category: General Use, Price: 47534 BDT, Color: White, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 512GB SSD",Brand New,Student Discount Available
Suggest a Lenovo laptop with 8GB RAM and 512GB SSD.,"Name: Lenovo ExpertBook 4205, Category: General Use, Price: 62469 BDT, Color: Gray, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 512GB SSD",Brand New,Free Laptop Bag
Suggest a ASUS laptop with 12GB RAM and 1TB SSD.,"Name: ASUS ExpertBook 4206, Category: General Use, Price: 139280 BDT, Color: Silver, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 1TB SSD",Brand New,Up to 5% Discount
Suggest a HP laptop with 12GB RAM and 128GB SSD.,"Name: HP ExpertBook 4207, Category: General Use, Price: 116350 BDT, Color: Gray, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 128GB SSD",Brand New,Free Backpack
Suggest a Dell laptop with 12GB RAM and 256GB SSD.,"Name: Dell ExpertBook 4208, Category: General Use, Price: 109785 BDT, Color: White, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 256GB SSD",Pre-Owned,EMI available (6 months)
Suggest a Lenovo laptop with 12GB RAM and 512GB SSD.,"Name: Lenovo ExpertBook 4209, Category: General Use, Price: 106362 BDT, Color: Silver, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 512GB SSD",Brand New,Free Mouse Pad
Suggest a ASUS laptop with 12GB RAM and 1TB SSD.,"Name: ASUS ExpertBook 4210, Category: General Use, Price: 71238 BDT, Color: Black, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 1TB SSD",Brand New,"Cash Offer: ৳24,000 discount"
Suggest a Apple laptop with 8GB RAM and 1TB SSD.,"Name: Apple ExpertBook 4211, Category: General Use, Price: 84821 BDT, Color: White, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 1TB SSD",Pre-Owned,0% EMI on selected cards
Suggest a ASUS laptop with 4GB RAM and 256GB SSD.,"Name: ASUS ExpertBook 4212, Category: General Use, Price: 58688 BDT, Color: Gray, Brand: ASUS, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 256GB SSD",Pre-Owned,Student Discount Available
Suggest a LG laptop with 4GB RAM and 1TB SSD.,"Name: LG ExpertBook 4213, Category: General Use, Price: 142870 BDT, Color: Black, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 1TB SSD",Brand New,Cashback ৳2000
Suggest a HP laptop with 12GB RAM and 128GB SSD.,"Name: HP ExpertBook 4214, Category: General Use, Price: 128722 BDT, Color: White, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 128GB SSD",Brand New,0% EMI or ৳4000 Discount
Suggest a HP laptop with 16GB RAM and 256GB SSD.,"Name: HP ExpertBook 4215, Category: General Use, Price: 46897 BDT, Color: Black, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 256GB SSD",Brand New,0% EMI on selected cards
Suggest a Lenovo laptop with 8GB RAM and 256GB SSD.,"Name: Lenovo ExpertBook 4216, Category: General Use, Price: 133001 BDT, Color: Gray, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 256GB SSD",Brand New,Cashback ৳2000
Suggest a MSI laptop with 16GB RAM and 1TB SSD.,"Name: MSI ExpertBook 4217, Category: General Use, Price: 149764 BDT, Color: White, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 16GB RAM, 1TB SSD",Pre-Owned,"Cash Offer: ৳20,000 discount"
Suggest a Apple laptop with 16GB RAM and 512GB SSD.,"Name: Apple ExpertBook 4218, Category: General Use, Price: 102677 BDT, Color: Black, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 512GB SSD",Brand New,"Cash Offer: ৳24,000 discount"
Suggest a Acer laptop with 8GB RAM and 128GB SSD.,"Name: Acer ExpertBook 4219, Category: General Use, Price: 103982 BDT, Color: Silver, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 128GB SSD",Brand New,Up to 5% Discount
Suggest a Lenovo laptop with 4GB RAM and 512GB SSD.,"Name: Lenovo ExpertBook 4220, Category: General Use, Price: 115060 BDT, Color: Gray, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 512GB SSD",Brand New,"Cash Offer: ৳24,000 discount"
Suggest a Lenovo laptop with 12GB RAM and 256GB SSD.,"Name: Lenovo ExpertBook 4221, Category: General Use, Price: 69454 BDT, Color: White, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 256GB SSD",Brand New,Discount ৳1500
Suggest a HP laptop with 8GB RAM and 512GB SSD.,"Name: HP ExpertBook 4222, Category: General Use, Price: 126133 BDT, Color: White, Brand: HP, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 512GB SSD",Brand New,"Cash Offer: ৳20,000 discount"
Suggest a MSI laptop with 12GB RAM and 256GB SSD.,"Name: MSI ExpertBook 4223, Category: General Use, Price: 149351 BDT, Color: Gray, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 12GB RAM, 256GB SSD",Brand New,EMI available (6 months)
Suggest a Acer laptop with 8GB RAM and 256GB SSD.,"Name: Acer ExpertBook 4224, Category: General Use, Price: 56574 BDT, Color: Black, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 256GB SSD",Pre-Owned,Discount ৳1500
Suggest a LG laptop with 8GB RAM and 128GB SSD.,"Name: LG ExpertBook 4225, Category: General Use, Price: 52577 BDT, Color: White, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 8GB RAM, 128GB SSD",Brand New,Free Mouse Pad
Suggest a Dell laptop with 4GB RAM and 1TB SSD.,"Name: Dell ExpertBook 4226, Category: General Use, Price: 66311 BDT, Color: Silver, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 1TB SSD",Brand New,Student Discount Available
Suggest a LG laptop with 16GB RAM and 256GB SSD.,"Name: LG ExpertBook 4227, Category: General Use, Price: 120049 BDT, Color: Black, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 256GB SSD",Brand New,Free Backpack
Suggest a Acer laptop with 12GB RAM and 256GB SSD.,"Name: Acer ExpertBook 4228, Category: General Use, Price: 55873 BDT, Color: Gray, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 256GB SSD",Brand New,Free Laptop Bag
Suggest a LG laptop with 4GB RAM and 256GB SSD.,"Name: LG ExpertBook 4229, Category: General Use, Price: 148908 BDT, Color: Gray, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 256GB SSD",Pre-Owned,"Cash Offer: ৳20,000 discount"
Suggest a Acer laptop with 12GB RAM and 128GB SSD.,"Name: Acer ExpertBook 4230, Category: General Use, Price: 149036 BDT, Color: Silver, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 128GB SSD",Pre-Owned,Battery Replacement Support
Suggest a Lenovo laptop with 8GB RAM and 128GB SSD.,"Name: Lenovo ExpertBook 4231, Category: General Use, Price: 56925 BDT, Color: Gray, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 128GB SSD",Brand New,Free Mouse Pad
Suggest a Acer laptop with 4GB RAM and 1TB SSD.,"Name: Acer ExpertBook 4232, Category: General Use, Price: 129886 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 4GB RAM, 1TB SSD",Brand New,0% EMI on selected cards
Suggest a Acer laptop with 4GB RAM and 256GB SSD.,"Name: Acer ExpertBook 4233, Category: General Use, Price: 64681 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 4GB RAM, 256GB SSD",Pre-Owned,Free Mouse Pad
Suggest a Apple laptop with 16GB RAM and 512GB SSD.,"Name: Apple ExpertBook 4234, Category: General Use, Price: 70234 BDT, Color: Silver, Brand: Apple, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 16GB RAM, 512GB SSD",Pre-Owned,Student Discount Available
Suggest a MSI laptop with 4GB RAM and 128GB SSD.,"Name: MSI ExpertBook 4235, Category: General Use, Price: 127513 BDT, Color: Gray, Brand: MSI, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 4GB RAM, 128GB SSD",Brand New,"Cash Offer: ৳18,000 discount"
Suggest a Acer laptop with 8GB RAM and 512GB SSD.,"Name: Acer ExpertBook 4236, Category: General Use, Price: 94955 BDT, Color: Gray, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 8GB RAM, 512GB SSD",Brand New,Battery Replacement Support
Suggest a Acer laptop with 8GB RAM and 512GB SSD.,"Name: Acer ExpertBook 4237, Category: General Use, Price: 63732 BDT, Color: White, Brand: Acer, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 8GB RAM, 512GB SSD",Brand New,EMI available (6 months)
Suggest a Dell laptop with 12GB RAM and 1TB SSD.,"Name: Dell ExpertBook 4238, Category: General Use, Price: 90463 BDT, Color: Black, Brand: Dell, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i5 8th Gen, 12GB RAM, 1TB SSD",Brand New,Discount ৳1500
Suggest a Lenovo laptop with 16GB RAM and 1TB SSD.,"Name: Lenovo ExpertBook 4239, Category: General Use, Price: 116418 BDT, Color: White, Brand: Lenovo, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i7 8th Gen, 16GB RAM, 1TB SSD",Pre-Owned,0% EMI or ৳4000 Discount
Suggest a LG laptop with 12GB RAM and 128GB SSD.,"Name: LG ExpertBook 4240, Category: General Use, Price: 73939 BDT, Color: White, Brand: LG, Body Type: Plastic, Keyboard: Standard, Hardware: Intel Core i3 8th Gen, 12GB RAM, 128GB SSD",Pre-Owned,Free Mouse Pad
